Species	Kingdom	Class	Size (Mb)	GC%	Number of genes	Number of proteins	Publication year	Assembly status
Hanseniaspora guilliermondii	Fungi	Ascomycetes	9.03785	30.9	4147	4070	2016	Scaffold
Bathycoccus sp. TOSAG39-1	Plants	Green Algae	10.0579	47.3	-	-	2016	Scaffold
Rhinolophus sinicus	Animals	Mammals	2073.34	39.4	-	-	2016	Scaffold
Mrakia psychrophila	Fungi	Basidiomycetes	27.7701	53.8	-	-	2016	Contig
Trametes pubescens	Fungi	Basidiomycetes	39.7398	57.5	14718	14438	2016	Scaffold
Talaromyces amestolkiae	Fungi	Ascomycetes	33.7219	46.5	10407	10407	2016	Scaffold
Venturia effusa	Fungi	Ascomycetes	40.5501	46.9	-	-	2016	Scaffold
Penicillium subrubescens	Fungi	Ascomycetes	39.8032	49.2	14337	14177	2016	Scaffold
Ruellia speciosa	Plants	Land Plants	740.0360000000002	39.1	-	-	2016	Contig
Pythium periplocum	Protists	Other Protists	35.8865	53.7	-	-	2016	Scaffold
Drosera capensis	Plants	Land Plants	263.788	-	-	-	2016	Scaffold
Microbotryum saponariae	Fungi	Basidiomycetes	28.6536	56.5	10587	10587	2018	Contig
Euclidium syriacum	Plants	Land Plants	229.211	35.4	-	-	2016	Scaffold
Conringia planisiliqua	Plants	Land Plants	184.156	35.4	-	-	2016	Scaffold
Magnaporthe sp. MG03	Fungi	Ascomycetes	41.1292	-	-	-	2017	Contig
Magnaporthe sp. MG05	Fungi	Ascomycetes	38.6239	-	-	-	2017	Contig
Saccharomycopsis fibuligera x Saccharomycopsis cf. fibuligera	Fungi	Ascomycetes	38.5165	38.5363	-	-	2017	Chromosome
Sebastes aleutianus	Animals	Fishes	899.65	40.9	-	-	2016	Scaffold
Phlebia centrifuga	Fungi	Basidiomycetes	34.6123	48.8	13889	13684	2016	Contig
Aureobasidium sp. FSWF8-4	Fungi	Ascomycetes	28.1737	50.4	-	-	2016	Scaffold
Rhodotorula sp. FNED7-22	Fungi	Basidiomycetes	16.34	49.4	-	-	2016	Scaffold
Talaromyces atroroseus	Fungi	Ascomycetes	30.8586	44.3	9523	9523	2016	Scaffold
Aethina tumida	Animals	Insects	234.344	30	15660	17463	2017	Contig
Citrus x paradisi x Citrus trifoliata	Plants	Land Plants	265.534	34.4	-	-	2017	Contig
Cladosporium cladosporioides	Fungi	Ascomycetes	33.2257	52.3	-	-	2018	Contig
Proctacanthus coquilletti	Animals	Insects	208.908	-	-	-	2017	Scaffold
Magnaporthe sp. MG07	Fungi	Ascomycetes	43.17100000000001	-	-	-	2017	Contig
Magnaporthe sp. MG08	Fungi	Ascomycetes	39.5607	50.8	-	-	2017	Contig
Magnaporthe sp. MG12	Fungi	Ascomycetes	41.1572	-	-	-	2017	Contig
Colletotrichum chlorophyti	Fungi	Ascomycetes	52.387	49.8	10419	10310	2017	Scaffold
Grosmannia penicillata	Fungi	Ascomycetes	27.6799	58.1	-	-	2017	Contig
Girardia tigrina	Animals	Flatworms	1428.15	27.3	-	-	2017	Scaffold
Sugiyamaella xylanicola	Fungi	Ascomycetes	16.6426	46	-	-	2017	Contig
Symbiodinium microadriaticum	Protists	Other Protists	808.227	46.6	47715	43403	2017	Scaffold
Talaromyces wortmannii	Fungi	Ascomycetes	38.5887	44.6	-	-	2017	Scaffold
Trametes polyzona	Fungi	Basidiomycetes	36.6297	57.4	-	-	2017	Scaffold
Saccharomycopsis fibuligera	Fungi	Ascomycetes	19.6531	38.2638	-	-	2017	Chromosome
Fomitopsis palustris	Fungi	Basidiomycetes	43.8567	55.3	-	-	2017	Contig
Alternaria consortialis	Fungi	Ascomycetes	34.2409	50.5	-	-	2016	Scaffold
Trichoderma koningii	Fungi	Ascomycetes	32.3227	53.1	-	-	2016	Scaffold
Lyophyllum decastes	Fungi	Basidiomycetes	43.0354	45.8	-	-	2016	Scaffold
Lyophyllum shimeji	Fungi	Basidiomycetes	52.4348	47.2	-	-	2016	Scaffold
Candida sp. JCM 15000	Fungi	Ascomycetes	9.21388	49	-	-	2016	Scaffold
Ramalina peruviana	Fungi	Ascomycetes	26.9904	50.6	-	-	2017	Scaffold
Smittium mucronatum	Fungi	Other Fungi	102.351	25.7	8372	8247	2017	Scaffold
Smittium culicis	Fungi	Other Fungi	77.1248	28.4	12444	12166	2017	Scaffold
Stentor coeruleus	Protists	Other Protists	77.8312	29.6	31426	31426	2017	Contig
Psidium guajava	Plants	Land Plants	386.852	39.3	-	-	2018	Contig
Erythrobasidium hasegawianum	Fungi	Basidiomycetes	39.1521	49.9	-	-	2016	Scaffold
Termitomyces sp. JCM 13351	Fungi	Basidiomycetes	91.8161	29.3	-	-	2016	Scaffold
Cephalotus follicularis	Plants	Land Plants	1614.52	38.9	36503	36667	2017	Scaffold
Gaeumannomyces tritici R3-111a-1	Fungi	Ascomycetes	43.7687	56.3	14743	14650	2010	Scaffold
Amanita phalloides	Fungi	Basidiomycetes	40.3852	42.2	-	-	2017	Scaffold
Amanita bisporigera	Fungi	Basidiomycetes	75.3463	43.2	-	-	2017	Scaffold
Zygosaccharomyces parabailii	Fungi	Ascomycetes	20.8644	42.4701	10633	10086	2017	Complete Genome
Irpex lacteus	Fungi	Basidiomycetes	44.3627	49.5	-	-	2017	Contig
Salmacisia buchloeana	Fungi	Basidiomycetes	18.4225	62.3	-	-	2017	Contig
Venturia carpophila	Fungi	Ascomycetes	36.9178	47.4	-	-	2017	Scaffold
Emergomyces pasteurianus Ep9510	Fungi	Ascomycetes	32.411	44.4	9064	8950	2016	Scaffold
Penicillium sp. HKF2	Fungi	Ascomycetes	31.4848	48.1	-	-	2017	Scaffold
Ficus carica	Plants	Land Plants	247.091	-	-	-	2017	Scaffold
fungal sp. No.14919	Fungi	Other Fungi	48.7349	46.9	14606	14342	2017	Scaffold
Oithona nana	Animals	Other Animals	85.0101	38.9	-	-	2017	Scaffold
Pseudomyrmex gracilis	Animals	Insects	282.776	39.9	12408	23473	2017	Scaffold
Batrachochytrium salamandrivorans	Fungi	Other Fungi	32.6364	41.7	10172	12471	2017	Scaffold
Juglans mandshurica	Plants	Land Plants	558.071	-	-	-	2018	Scaffold
Hericium coralloides	Fungi	Basidiomycetes	55.9057	53.8	-	-	2018	Contig
Yamagishiella unicocca	Plants	Green Algae	134.235	61	-	-	2018	Contig
Juglans cathayensis	Plants	Land Plants	600.151	-	-	-	2018	Scaffold
Spongospora subterranea	Protists	Other Protists	28.0849	45.4	-	-	2018	Scaffold
Timema cristinae	Animals	Insects	955.49	34.8849	-	-	2018	Chromosome
Citrus cavaleriei	Plants	Land Plants	357.621	32.1	-	-	2017	Scaffold
Atalantia buxifolia	Plants	Land Plants	315.806	30.7	-	-	2017	Scaffold
Ceratocystis harringtonii	Fungi	Ascomycetes	26.0624	49	-	-	2017	Scaffold
Huntiella bhutanensis	Fungi	Ascomycetes	26.6957	48	-	-	2017	Scaffold
Nicotiana obtusifolia	Plants	Land Plants	1222.77	38.4	-	-	2017	Scaffold
Trichoderma guizhouense	Fungi	Ascomycetes	38.3295	49.6	11255	11255	2017	Scaffold
Creolimax fragrantissima	Protists	Other Protists	44.808	40.3	-	-	2017	Scaffold
Artocarpus camansi	Plants	Land Plants	631.308	33.2	-	-	2017	Scaffold
Acanthamoeba comandoni	Protists	Other Protists	86.2147	43.7	-	-	2017	Contig
Patagioenas fasciata monilis	Animals	Birds	1089.15	40.9	19528	24805	2017	Scaffold
Lachancea sp. CBS 6924	Fungi	Ascomycetes	11.3367	44.5004	5396	5059	2016	Chromosome
Lachancea mirantina	Fungi	Ascomycetes	10.1173	45.1112	5353	5056	2016	Chromosome
Mus pahari	Animals	Mammals	2475.01	42.6694	26179	36170	2017	Chromosome
[Candida] aaseri	Fungi	Ascomycetes	10.4912	34.2	-	-	2017	Scaffold
Penicillium vulpinum	Fungi	Ascomycetes	31.0611	47.4	10278	10278	2017	Scaffold
Penicillium flavigenum	Fungi	Ascomycetes	32.9033	48.5	10994	10994	2017	Scaffold
Penicillium antarcticum	Fungi	Ascomycetes	31.455	48.8	11514	11514	2017	Scaffold
Penicillium steckii	Fungi	Ascomycetes	32.1096	45.1	10362	10362	2017	Scaffold
Penicillium coprophilum	Fungi	Ascomycetes	28.3604	48.3	8999	8999	2017	Scaffold
Metschnikowia australis	Fungi	Ascomycetes	14.3508	47.2	-	-	2017	Contig
Xerophyta viscosa	Plants	Land Plants	295.462	36.3	-	-	2017	Scaffold
Rachicladosporium sp. CCFEE 5018	Fungi	Ascomycetes	44.7653	54.9	238	237	2017	Scaffold
Rachicladosporium antarcticum	Fungi	Ascomycetes	47.4106	54.9	18854	18781	2017	Scaffold
Apostichopus parvimensis	Animals	Other Animals	873.0880000000002	38.5	-	-	2015	Scaffold
Phytophthora cactorum	Protists	Other Protists	59.25100000000001	48.7	23882	24172	2018	Scaffold
Bathymodiolus platifrons	Animals	Other Animals	1658.19	30.2	-	-	2017	Scaffold
Modiolus philippinarum	Animals	Other Animals	2629.56	32.3	-	-	2017	Scaffold
Protostelium mycophagum	Protists	Other Protists	39.718	42.2	-	-	2017	Scaffold
Tropilaelaps mercedesae	Animals	Other Animals	352.535	40.9	13866	13904	2017	Scaffold
Enterocytozoon hepatopenaei	Fungi	Other Fungi	3.25352	25.5	2536	2536	2017	Scaffold
Kretzschmaria deusta	Fungi	Ascomycetes	46.527	47.1	-	-	2017	Scaffold
Trypanosoma theileri	Protists	Kinetoplasts	29.8222	34.5	11312	11312	2017	Scaffold
Entodinium caudatum	Protists	Other Protists	107.455	-	-	-	2017	Scaffold
Enterospora canceri	Fungi	Other Fungi	3.09538	40.2	2178	2169	2017	Contig
Nothapodytes nimmoniana	Plants	Land Plants	1.36527	33.8	-	-	2017	Contig
Ligia exotica	Animals	Other Animals	953.555	36	-	-	2017	Scaffold
Caridina multidentata	Animals	Other Animals	1948.95	33.3	-	-	2017	Scaffold
Fusarium praegraminearum	Fungi	Ascomycetes	35.3148	48.5	-	-	2017	Scaffold
Calopteryx splendens	Animals	Insects	1628.35	31.8	-	-	2017	Scaffold
Spathaspora boniae	Fungi	Ascomycetes	12.2995	53.9	-	-	2017	Contig
Auricularia auricula-judae	Fungi	Basidiomycetes	43.569	56.6	-	-	2017	Scaffold
Babesia sp. Xinjiang	Protists	Apicomplexans	8.44754	43.6	3106	3066	2017	Scaffold
Phialophora verrucosa	Fungi	Ascomycetes	35.456	52.9	-	-	2017	Contig
Kockovaella imperatae	Fungi	Basidiomycetes	17.4657	52.2	7428	7392	2017	Contig
Nephila clavipes	Animals	Other Animals	2439.3	22.7	-	-	2017	Scaffold
Lobosporangium transversale	Fungi	Other Fungi	42.7689	41.6	11983	11822	2017	Contig
Absidia repens	Fungi	Other Fungi	47.4229	38.2	15151	14915	2017	Contig
Spathaspora xylofermentans	Fungi	Ascomycetes	15.0983	35.3	-	-	2017	Scaffold
Trametes coccinea BRFM310	Fungi	Basidiomycetes	32.7579	56.5	13016	12693	2017	Scaffold
Anaeromyces robustus	Fungi	Other Fungi	71.685	16.3	13083	12833	2017	Contig
Hesseltinella vesiculosa	Fungi	Other Fungi	27.2162	46.3	11243	11139	2017	Contig
Piromyces finnis	Fungi	Other Fungi	56.4558	21.2	11314	10978	2017	Contig
Rhizoclosmatium globosum	Fungi	Other Fungi	57.0184	44.9	17656	16987	2017	Contig
Linderina pennispora	Fungi	Other Fungi	26.2025	54.1	9583	9350	2017	Contig
Neocallimastix californiae	Fungi	Other Fungi	193.032	18.2	21039	20214	2017	Contig
Clohesyomyces aquaticus	Fungi	Ascomycetes	49.6777	49.6	15869	15811	2017	Contig
Naematelia encephala	Fungi	Basidiomycetes	19.7863	49.3	8010	7964	2017	Contig
Pseudomassariella vexata	Fungi	Ascomycetes	44.7115	50.6	12951	12565	2017	Contig
Protomyces lactucaedebilis	Fungi	Ascomycetes	12.9288	51.2	6771	6725	2017	Contig
Yamadazyma laniorum	Fungi	Ascomycetes	10.9121	42.2	-	-	2017	Scaffold
Acanthochromis polyacanthus	Animals	Fishes	991.585	41.5	26617	36061	2017	Scaffold
Emergomyces orientalis	Fungi	Ascomycetes	35.4985	45.6	-	-	2017	Contig
Heliconius heurippa	Animals	Insects	309.4190000000001	31.7	-	-	2015	Scaffold
Laparus doris doris	Animals	Insects	241.556	32.8	-	-	2015	Scaffold
Lasiodiplodia theobromae	Fungi	Ascomycetes	43.2834	54.8	-	-	2017	Scaffold
Neruda aoede	Animals	Insects	337.37	32	-	-	2015	Scaffold
Heliconius hecuba flava	Animals	Insects	212.767	33.9	-	-	2015	Scaffold
Heliconius hierax	Animals	Insects	210.868	33.7	-	-	2015	Scaffold
Dothistroma pini CBS 116487	Fungi	Ascomycetes	29.9846	53.2	-	-	2017	Scaffold
Mycosphaerella sp. PB-2012b Mex 2-1-2	Fungi	Ascomycetes	27.278	51.4	-	-	2017	Scaffold
Ramularia endophylla CBS 113265	Fungi	Ascomycetes	41.3291	49.1	-	-	2017	Scaffold
Heliconius wallacei	Animals	Insects	365.01	32.6	-	-	2015	Scaffold
Heliconius xanthocles	Animals	Insects	198.612	33.8	-	-	2015	Scaffold
Trebouxia sp. TZW2008	Plants	Green Algae	69.3465	49.7	-	-	2017	Scaffold
Hypoxylon sp. EC38	Fungi	Ascomycetes	47.7178	39.9	12688	12531	2017	Scaffold
Hypoxylon sp. CI-4A	Fungi	Ascomycetes	37.7041	45.8	11916	11701	2017	Scaffold
Daldinia sp. EC12	Fungi	Ascomycetes	37.551	45	11321	11161	2017	Scaffold
Hypoxylon sp. CO27-5	Fungi	Ascomycetes	46.5857	40.5	12414	12245	2017	Scaffold
Euroglyphus maynei	Animals	Other Animals	43.4378	26.2	-	-	2017	Scaffold
Thraustochytrium sp. ATCC 26185	Protists	Other Protists	18.0999	-	-	-	2017	Scaffold
Grammothele lineata	Fungi	Basidiomycetes	42.8561	56.8	-	-	2017	Scaffold
Mycosphaerella populi pn0402	Fungi	Ascomycetes	30.0139	48.4	-	-	2017	Scaffold
Macrocentrus cingulum	Animals	Insects	127.916	35.6	-	-	2017	Contig
Saccharum spontaneum	Plants	Land Plants	3133.29	44.937	-	-	2018	Chromosome
Pecoramyces ruminatium	Fungi	Other Fungi	100.954	17	-	-	2013	Contig
Melampsora allii-populina	Fungi	Basidiomycetes	44.5303	40.3	-	-	2017	Scaffold
Melampsora abietis-canadensis	Fungi	Basidiomycetes	74.0504	41.2	-	-	2017	Scaffold
Melampsora medusae f. sp. deltoidis	Fungi	Basidiomycetes	82.2414	42	-	-	2017	Scaffold
Melampsora aecidioides	Fungi	Basidiomycetes	62.2224	40.6	-	-	2017	Scaffold
Melampsora occidentalis	Fungi	Basidiomycetes	97.689	42.4	-	-	2017	Scaffold
Rostrostelium ellipticum	Protists	Other Protists	62.1602	54.6	-	-	2017	Scaffold
Synstelium polycarpum	Protists	Other Protists	62.2201	48.1	-	-	2017	Scaffold
Coremiostelium polycephalum	Protists	Other Protists	48.621	38	-	-	2017	Scaffold
Cavenderia deminutiva	Protists	Other Protists	45.8015	43.2	-	-	2017	Scaffold
Acytostelium leptosomum	Protists	Other Protists	57.2568	-	-	-	2017	Scaffold
Coprinopsis strossmayeri	Fungi	Basidiomycetes	33.3165	49	-	-	2017	Scaffold
Plasmodium gonderi	Protists	Apicomplexans	33.0063	26.9	6089	5916	2017	Scaffold
Piromyces sp. E2	Fungi	Other Fungi	71.0191	32.5	14612	14612	2017	Scaffold
Geosmithia morbida	Fungi	Ascomycetes	26.5491	53.3	-	-	2016	Scaffold
Klebsormidium nitens	Plants	Other Plants	104.21	52.4575	11727	11723	2014	Scaffold
Kazachstania saulgeensis	Fungi	Ascomycetes	12.9358	32.2	5869	5329	2017	Scaffold
Herrania umbratica	Plants	Land Plants	234.039	33.9	20721	27748	2017	Scaffold
Nannopterum harrisi	Animals	Birds	1202.99	42.1	-	-	2017	Scaffold
Urile pelagicus	Animals	Birds	1210.66	-	-	-	2017	Scaffold
Nannopterum auritus	Animals	Birds	1246.05	42.1	-	-	2017	Scaffold
Colubraria reticulata	Animals	Other Animals	67.1011	44.3	-	-	2016	Contig
Curvularia sp. IFB-Z10	Fungi	Ascomycetes	33.0102	50.4	-	-	2017	Scaffold
Sclerotinia glacialis	Fungi	Ascomycetes	41.0985	39.2	-	-	2017	Scaffold
Myriosclerotinia duriaeana	Fungi	Ascomycetes	44.0964	39.4	-	-	2017	Scaffold
Actinidia eriantha	Plants	Land Plants	690.6110000000001	35.9315	-	-	2019	Chromosome
Fusarium pininemorale	Fungi	Ascomycetes	47.7785	46	-	-	2017	Scaffold
Ophidiomyces ophiodiicola	Fungi	Ascomycetes	21.865	47	-	-	2017	Scaffold
Sclerotium cepivorum	Fungi	Ascomycetes	56.335	35.8	-	-	2017	Scaffold
Myriosclerotinia scirpicola	Fungi	Ascomycetes	43.975	39.4	-	-	2017	Scaffold
Myriosclerotinia curreyana	Fungi	Ascomycetes	40.7491	38.8	-	-	2017	Scaffold
Monilinia aucupariae	Fungi	Ascomycetes	54.9482	36.4	-	-	2017	Scaffold
Monilinia fructicola	Fungi	Ascomycetes	44.6842	40.1	-	-	2017	Scaffold
Sporophila hypoxantha	Animals	Birds	1067.76	40.6	-	-	2017	Scaffold
Fusarium euwallaceae	Fungi	Ascomycetes	48.2741	51.3	-	-	2017	Scaffold
Radix auricularia	Animals	Other Animals	909.764	33.6999	-	-	2017	Scaffold
Renilla reniformis	Animals	Other Animals	131.555	36.6	-	-	2017	Scaffold
Patiriella regularis	Animals	Other Animals	949.333	37	-	-	2015	Scaffold
Ophionereis fasciata	Animals	Other Animals	1184.53	32.6	-	-	2015	Scaffold
Cryphonectria radicalis	Fungi	Ascomycetes	43.50899999999999	49.5	-	-	2018	Scaffold
Calonectria leucothoes	Fungi	Ascomycetes	63.0644	49.5	-	-	2017	Scaffold
Oscheius tipulae	Animals	Roundworms	59.4686	44.5	-	-	2017	Scaffold
Mamestra configurata	Animals	Insects	571.308	-	-	-	2017	Scaffold
Fusarium udum	Fungi	Ascomycetes	56.3806	42.4	-	-	2017	Scaffold
Torulaspora microellipsoides	Fungi	Ascomycetes	10.4148	38.7	-	-	2017	Scaffold
Lepista sordida	Fungi	Basidiomycetes	56.6518	-	-	-	2017	Scaffold
Gaeumannomyces sp. JS-464	Fungi	Ascomycetes	53.1513	53.1	-	-	2017	Scaffold
Euglossa dilemma	Animals	Insects	588.2	28.8	-	-	2017	Scaffold
Marssonina coronariae	Fungi	Ascomycetes	50.2671	44	9563	9355	2017	Scaffold
Diploscapter coronatus	Animals	Roundworms	170.49200000000005	37.4	-	-	2017	Scaffold
Ooceraea biroi	Animals	Insects	223.876	41.3083	14121	24228	2018	Chromosome
[Candida] psychrophila	Fungi	Ascomycetes	11.2417	36.7	-	-	2017	Contig
Geosmithia putterillii	Fungi	Ascomycetes	30.0694	55.4	-	-	2017	Scaffold
Geosmithia flava	Fungi	Ascomycetes	29.8233	51.7	-	-	2017	Scaffold
Rhizophlyctis rosea	Fungi	Other Fungi	46.8467	48.8	-	-	2017	Scaffold
Phytophthora megakarya	Protists	Other Protists	101.505	48.7	38738	34466	2017	Scaffold
Lagenorhynchus obliquidens	Animals	Mammals	2334.47	41.3	28673	54600	2018	Scaffold
Esteya vermicola	Fungi	Ascomycetes	33.9689	49.5	-	-	2017	Contig
Himantopus himantopus leucocephalus	Animals	Birds	1116.81	41.6	-	-	2019	Scaffold
Aspergillus persii	Fungi	Ascomycetes	38.4144	48.3	-	-	2017	Scaffold
Raffaelea quercus-mongolicae	Fungi	Ascomycetes	27.006	54.2	-	-	2017	Scaffold
Psammomys obesus	Animals	Mammals	2311.47	42	-	-	2017	Contig
Crithidia bombi	Protists	Kinetoplasts	32.0384	55.2	-	-	2018	Scaffold
Cercospora cf. sigesbeckiae	Fungi	Ascomycetes	34.9408	52.7	-	-	2017	Contig
Drosophila obscura	Animals	Insects	181.86900000000003	44.7	18245	26814	2017	Scaffold
Microbotryum intermedium	Fungi	Basidiomycetes	23.461	55.7	8142	8142	2017	Contig
Drosophila nasuta	Animals	Insects	137.224	37.8	-	-	2017	Scaffold
fungal sp. ARF18	Fungi	Other Fungi	46.3942	43.9	-	-	2017	Scaffold
Anas zonorhyncha	Animals	Birds	1310.8	37.7	-	-	2017	Scaffold
Knufia petricola	Fungi	Ascomycetes	27.7592	51.7	-	-	2017	Contig
Geotrichum fermentans	Fungi	Ascomycetes	31.2783	58	-	-	2017	Scaffold
Limonomyces culmigenus	Fungi	Basidiomycetes	36.1361	-	-	-	2017	Scaffold
Fusarium sp. Na10	Fungi	Ascomycetes	46.6232	47.4	-	-	2017	Scaffold
Fusarium hostae	Fungi	Ascomycetes	54.582	45.7	-	-	2017	Scaffold
Aspergillus turcosus	Fungi	Ascomycetes	32.3527	47.6	9223	9223	2017	Contig
Crotalus pyrrhus	Animals	Reptiles	1126.79	38.5	-	-	2014	Scaffold
Elaphomyces granulatus	Fungi	Ascomycetes	54.1536	45.6	7116	7123	2017	Scaffold
Lecanicillium sp. LEC01	Fungi	Ascomycetes	31.408	50	-	-	2017	Scaffold
Scheffersomyces stambukii	Fungi	Ascomycetes	13.2412	44.7	-	-	2017	Contig
Solanum americanum	Plants	Land Plants	9.01369	36.2	-	-	2017	Contig
Scedosporium boydii	Fungi	Ascomycetes	43.302	50.7	-	-	2017	Contig
Dryococelus australis	Animals	Insects	3416.45	38.6	-	-	2017	Contig
Aspergillus thermomutatus	Fungi	Ascomycetes	30.946	50.1	9702	9702	2017	Contig
Peronospora effusa	Protists	Other Protists	32.1629	47.4	8603	8603	2018	Scaffold
Calephelis nemesis	Animals	Insects	808.525	-	-	-	2017	Scaffold
Calephelis virginiensis	Animals	Insects	855.082	-	-	-	2017	Scaffold
Micractinium conductrix	Plants	Green Algae	61.0189	67.1615	9217	10070	2017	Contig
Trichoderma koningiopsis	Fungi	Ascomycetes	36.5808	48.8	-	-	2017	Scaffold
Phytophthora plurivora	Protists	Other Protists	40.4412	51.7	-	-	2017	Scaffold
Colletotrichum coccodes	Fungi	Ascomycetes	50.122	53.8	-	-	2017	Scaffold
Trichomalopsis sarcophagae	Animals	Insects	236.484	24.2	3	3	2017	Scaffold
Wickerhamiella sorbophila	Fungi	Ascomycetes	8.15274	48.3	4740	4740	2017	Contig
Caenorhabditis latens	Animals	Roundworms	117.125	34.3	24855	25624	2017	Scaffold
Bifiguratus adelaidae	Fungi	Other Fungi	19.4789	47.7	5790	5719	2017	Scaffold
Sigmodon hispidus	Animals	Mammals	2730.6	39.8	-	-	2019	Scaffold
Capsicum baccatum	Plants	Land Plants	3215.61	35.4251	35853	35853	2017	Chromosome
Chlorociboria aeruginascens	Fungi	Ascomycetes	33.0565	43.1	8648	8648	2017	Scaffold
Thermophis baileyi	Animals	Reptiles	1747.68	-	-	-	2018	Scaffold
Nemopilema nomurai	Animals	Other Animals	213.621	38.4	-	-	2018	Scaffold
Diploscapter pachys	Animals	Roundworms	157.72	37.9	27341	38423	2017	Scaffold
Dentipellis sp. KUC8613	Fungi	Basidiomycetes	36.7068	53.7	-	-	2017	Scaffold
Bipolaris cookei	Fungi	Ascomycetes	36.1692	49.7	-	-	2017	Scaffold
Lagenidium giganteum	Protists	Other Protists	126.261	39.1	-	-	2017	Scaffold
Auricularia heimuer	Fungi	Basidiomycetes	49.7618	56.9	-	-	2017	Scaffold
Xylaria sp. MSU_SB201401	Fungi	Ascomycetes	56.8262	-	-	-	2017	Scaffold
Phytophthora colocasiae	Protists	Other Protists	56.5926	-	-	-	2017	Scaffold
Uria lomvia	Animals	Birds	1179.36	41.5	-	-	2017	Scaffold
Cinnamomum micranthum f. kanehirae	Plants	Land Plants	730.416	38.2	27836	26531	2018	Scaffold
Myocastor coypus	Animals	Mammals	2903.18	41.7	-	-	2019	Scaffold
Lomentospora prolificans	Fungi	Ascomycetes	37.6271	51.4843	8562	8560	2017	Contig
Durio zibethinus	Plants	Land Plants	715.23	32.7	44688	63007	2017	Scaffold
Eimeria falciformis	Protists	Apicomplexans	43.6713	47.5827	-	-	2017	Scaffold
Armillaria gallica	Fungi	Basidiomycetes	85.3368	47.5	26021	25695	2017	Scaffold
Armillaria solidipes	Fungi	Basidiomycetes	58.0095	48.4	21131	20808	2017	Scaffold
Kalanchoe fedtschenkoi	Plants	Land Plants	256.351	34.5	-	-	2017	Scaffold
Scenedesmus quadricauda	Plants	Green Algae	65.3539	63.2	-	-	2017	Contig
Laupala kohalensis	Animals	Insects	1595.21	34.9	-	-	2017	Scaffold
Colletotrichum fructicola	Fungi	Ascomycetes	55.9157	53.2	-	-	2018	Contig
Diplocarpon rosae	Fungi	Ascomycetes	67.78699999999999	45.5	13761	13761	2017	Scaffold
Neoscytalidium dimidiatum	Fungi	Ascomycetes	42.6877	54.3	-	-	2017	Scaffold
Cutaneotrichosporon arboriformis	Fungi	Basidiomycetes	19.8945	60.6	-	-	2017	Scaffold
Cutaneotrichosporon daszewskae	Fungi	Basidiomycetes	17.2258	61	-	-	2017	Scaffold
Vanrija fragicola	Fungi	Basidiomycetes	20.2637	58.2	-	-	2017	Scaffold
Cutaneotrichosporon cyanovorans	Fungi	Basidiomycetes	19.9418	58	-	-	2017	Scaffold
Chlamydomonas eustigma	Plants	Green Algae	66.6295	43.7	14111	14161	2017	Scaffold
Apodemus speciosus	Animals	Mammals	3494.29	24.2	-	-	2017	Scaffold
Ramichloridium luteum	Fungi	Ascomycetes	28.1406	54.7	-	-	2017	Scaffold
Metschnikowia kipukae	Fungi	Ascomycetes	11.2502	45.1	-	-	2017	Scaffold
Penicillium janthinellum	Fungi	Ascomycetes	37.6012	50.7	-	-	2017	Contig
[Candida] ipomoeae	Fungi	Ascomycetes	19.0379	43.5	-	-	2017	Scaffold
Metschnikowia colocasiae	Fungi	Ascomycetes	15.121	47	-	-	2017	Scaffold
Metschnikowia sp. 04-226.1	Fungi	Ascomycetes	16.1076	44.1	-	-	2017	Scaffold
Metschnikowia cubensis	Fungi	Ascomycetes	20.8982	43.5	-	-	2017	Scaffold
Metschnikowia shivogae	Fungi	Ascomycetes	10.8208	49.8	-	-	2017	Scaffold
Metschnikowia sp. 01-655c1	Fungi	Ascomycetes	20.9729	43.2	-	-	2017	Scaffold
Metschnikowia bowlesiae	Fungi	Ascomycetes	17.5614	48.5	-	-	2017	Scaffold
Metschnikowia kamakouana	Fungi	Ascomycetes	15.8849	44.8	-	-	2017	Scaffold
Metschnikowia hawaiiensis	Fungi	Ascomycetes	18.6094	44.4	-	-	2017	Scaffold
Metschnikowia hibisci	Fungi	Ascomycetes	11.4916	42.1	-	-	2017	Scaffold
Metschnikowia drakensbergensis	Fungi	Ascomycetes	11.9625	48.2	-	-	2017	Scaffold
Metschnikowia proteae	Fungi	Ascomycetes	12.5198	48.5	-	-	2017	Scaffold
Metschnikowia sp. M2Y3	Fungi	Ascomycetes	11.5506	47.9	-	-	2017	Scaffold
Metschnikowia aberdeeniae	Fungi	Ascomycetes	10.6813	48.5	-	-	2017	Scaffold
Metschnikowia cerradonensis	Fungi	Ascomycetes	21.0226	42.8	-	-	2017	Scaffold
Metschnikowia sp. 00-154.1	Fungi	Ascomycetes	21.0495	42.7	-	-	2017	Scaffold
Metschnikowia matae var. maris	Fungi	Ascomycetes	21.5693	41.2	-	-	2017	Scaffold
Metschnikowia santaceciliae	Fungi	Ascomycetes	20.8537	43.3	-	-	2017	Scaffold
Metschnikowia dekortorum	Fungi	Ascomycetes	16.396	48.7	-	-	2017	Scaffold
